NOOF	NART
01020814	L919340-007
01021114	693991F00
01021125	P01456017-CFG
01021378	HX0072
01021624	01NC9966N1
01021683	LET1079-001
01021743	X03646F02
01021867	P01654823
01021953	01NC9966N1
01022015	LEL0336-000
01022027	L959624-001
01022053	P01140824D
01022054	P01140824D
01022082	691484F00
01022098	P01196521E
01022105	IA-NE90ADC
01022212	IA-NE90VAC1
01022276	LNT1999-999
01022546	L967206-000
01022642	L956453-010
01022644	L955905-001
01022794	P01139714A
01022810	L860635-002
01022846	P01143200
01022937	P01654555
01022942	P01654246
01023228	P01651904
01023324	P01120043B
01023410	TRAVAUXINTE~1
01023696	P01157151
01023700	P01456017-CFG
01023770	LNT1999-999
01023773	P01157153A
01023892	P01456016-CFG
01023893	P01456017-CFG
01024159	TRAVAUXINTE~1
01024280	P01103076A
01024459	P01139716A
01024510	P01139711
01024730	P01100403
01024863	P01654246
01024878	695038D00
01025158	01NC9966N1
01025213	P01456016-CFG
01025214	P01456017-CFG
01025256	693936E00
01025258	693991F01
01025303	GX320-E
01025374	01NC9966N1
01025472	X04533E00
01025490	LNT1999-999
01025511	P01140834R
01025635	P01122016A
01025653	STH306154
01025654	PRESTQUALITE
01025703	P01654110
01025860	STH306154
01025862	PRESTQUALITE
01025883	X04244G01
01025944	LEL2699-001
01026367	AX0501A
01026370	P01138901
01026397	OX5042B
01026540	SADQU220-015
01026816	688021B00
01026820	688021B00
01026822	TRAVAUXINTE~1
01026914	MTX3292B
01026961	P01120116B
01027082	P01138902
01027175	694173E00
01027189	LEL2117-000
01027283	X03646F02
01027304	693991F00
01027345	P01157151
01027349	P01157154B
01027351	P01157153
01027353	P01157153
01027379	P01456016-CFG
01027380	P01456017-CFG
01027411	2035435
01027413	696073A00
01027438	P01145460
01027441	P01140822
01027838	N03569H00
01027842	X04509L00
01027866	693991F01
01027873	P01157155A
01027912	P01139712
01027913	P01139713A
01027975	LEL0466-000
01027983	P01140824C
01027998	P01139714A
01028005	P01139711
01028015	P01139711
01028019	P01139712
01028022	P01139713
01028023	P01139714
01028025	P01139714
01028026	P01139711A
01028027	P01139712A
01028029	P01139714A
01028106	LEL0466-002
01028147	L966361-000
01028199	P01140826A
01028201	P01140824
01028202	P01145445
01028266	693657B02
01028378	692769E00
01028571	X04509L00
01028741	GX310
01028751	LEL1103-150
01028785	P01145455
01028789	P01140836
01029129	693991F00
01029130	693991F01
01029131	693991F00
01029132	AX0503A
01029151	LEL1103-200
01029159	STAYAC100145
01029163	LEL0692-000A
01029307	TRAVAUXINTE~1
01029327	TRAVAUXINTE~1
01029385	P01138901
01029472	LNT1999-999
01029537	01NC9966N1
01029569	L959676-001
01029615	694594G00
01029627	L959676-001
01029628	L959716-001
01029698	687336-96C
01029721	L956452-002
01029778	LNT1999-999
01029826	01NC9965HD
01029827	01NC9966N11
01029828	01NC9969A
01029975	N00243B01
01029977	N00239B01
01029978	N00242B01
01030109	LEL0456-002
01030113	LEL0498-002
01030120	LEL2522-000
01030151	LEL0466-502
01030156	P01140836SNCF
01030190	01NC9965HD
01030191	01NC9966N31
01030192	01NC9969A
01030195	01NC9966N1
01030197	694594G00
01030224	L959340-007
01030231	L959340-007
01030272	LEL1103-150
01030273	LEL1103-250
01030432	MTX3290
01030441	GX310
01030479	LEL2177-007
01030504	L850746-000
01030544	P01157150
01030545	P01160658
01030559	TRAVAUXINTE~1
01030684	P01143210
01030696	P01456017A
01030729	LEL0430-410
01030817	LNT1999-999
01030819	LNT1999-999
01030820	LNT1999-999
01030821	LNT1999-999
01030822	LNT1999-999
01031003	P01143221
01031067	P01120660
01031195	P01157152
01031205	P01160595
01031218	P01654822
01031219	P01654823
01031331	01NC5500D
01031397	X04152A00
01031445	X04839C00
01031559	F00615A00
01031574	LEL0332-000
01031577	LEL2176-000
01031583	GX320
01031669	677830-93
01031907	F00258B00
01031983	L024241-000
01031984	L024242-000
01032021	P01456017-CFG
01032022	P01456017-CFG
01032090	P01145445
01032102	P01160657
01032174	01NC3989NE
01032175	01NC3989NE
01032193	X04974B03
01032325	01NC9966N1
01032367	L966619-003
01032391	P01651901
01032451	P01456017-CFG
01032475	N03296A00
01032611	P01160592
01032626	P01654822
01032747	695853H00
01033129	L811000-000
01033149	01NC3989NE
01033150	01NC3989NE
01033151	01NC3989NE
01033152	01NC3989NE
01033153	01NC3989NE
01033154	01NC3989NE
01033155	01NC3989NE
01033156	01NC3989NE
01033230	P01138901
01033261	P01160657A
01033263	P01160657A
01033270	P01140826A
01033272	P01157153A
01033301	LEL3180-001
01033332	P01456016-CFG
01033333	P01456017-CFG
01033334	P01456017-CFG
01033335	P01456017-CFG
01033336	P01456017-CFG
01033369	P01157165
01033471	L912081-000
01033474	L912081-000
01033478	P01120116B
01033484	LNT1999-999
01033494	P01145811
01033504	LEL0332-000
01033524	LNT1999-999
01033592	L953197-000
01033595	L912099-000
01033597	L912099-000
01033598	L912099-000
01033674	STH306154
01033675	PRESTQUALITE
01033704	L956453-001
01033706	L956467-003
01033972	AX0502A
01033976	X02775A00
01034062	TRAVAUXINTE~1
01034102	L224654-037
01034104	L224654-038
01034146	01NC9966P
01034170	01NC9965HD
01034171	01NC9965HD
01034173	01NC9966N31
01034180	01NC9969A
01034193	694882G00
01034198	01NC9965HD
01034199	01NC9966N31
01034200	01NC9969A
01034201	01NC9965HD
01034202	01NC9966N11
01034203	01NC9969A
01034270	GX305
01034272	P01145831
01034281	LA08258-000
01034288	TRAVAUXINTE~1
01034296	01NC9965HD
01034297	01NC9966N31
01034298	01NC9969A
01034327	P01140826A
01034338	P01654110
01034340	P01654246A
01034342	P01654823
01034353	L860297-002
01034420	01NC9965HD
01034421	01NC9966N31
01034422	01NC9969A
01034423	01NC9965HD
01034424	01NC9966N31
01034425	01NC9969A
01034438	01NC9965HD
01034441	01NC9966N31
01034442	01NC9969A
01034443	01NC9965HD
01034444	01NC9966N31
01034445	01NC9969A
01034446	01NC9965HD
01034447	01NC9966N31
01034448	01NC9969A
01034451	01NC9965HD
01034452	01NC9966N31
01034453	01NC9969A
01034510	P01157153A
01034516	TRAVAUXINTE~1
01034517	695038D01
01034591	P32200300
01034611	P01103076A
01034650	685098B54A
01034692	IA-NE90AAC
01034757	694191C00
01034856	X04152A03
01034910	P01120117
01034935	622196A90
01034958	P01143212
01035019	P01140836A
01035064	LNT1999-999
01035186	LEL1105-002
01035284	695793A00
01035326	A90A0486
01035328	01NC4564
01035344	TRAVAUXINTE~1
01035446	P01174830
01035483	01NC8550
01035535	LEL2174-001
01035536	LEL2174-002
01035538	LEL2176-000
01035556	LEL0699-100
01035564	LEL0339-000
01035669	01NC9965HD
01035670	01NC9969A
01035671	01NC9966N21
01035672	01NC9965HD
01035673	01NC9966N21
01035674	01NC9969A
01035752	HX0130
01035788	P01145460
01035790	P01145460
01035791	P01145460
01035794	P01157153A
01035815	P01160657A
01035821	P01654822
01035822	P01654822
01036003	622196A90
01036069	01NC9966N11
01036072	01NC9965HD
01036073	01NC9966N11
01036074	01NC9969A
01036144	P01120027
01036163	P01145460
01036193	687336-96C
01036194	687336-96C
01036309	P01145455
01036329	TRAVAUXINTE~1
01036344	SOUTRAITSHUNT
01036362	N04280A00
01036419	687231-54A
01036423	P01192200
01036436	N00514A00
01036443	684806-54A
01036444	685211-49A
01036493	P01120127A
01036511	622197-79
01036512	685098-54A
01036515	685098-54A
01036521	685098A54A
01036524	685098B54A
01036525	685098B54A
01036526	685098B54A
01036533	685099-37A
01036535	685099-37A
01036537	685685-54A
01036540	685685-54A
01036544	685098-54A
01036546	621040-05
01036553	685776-54A
01036554	685776-54A
01036562	685925-54A
01036564	686049-54A
01036587	687232-96B
01036637	684806A54A
01036641	687225-41A
01036644	687231-54A
01036645	687231-54A
01036654	P01120125
01036655	MTX3297
01036672	01NC9965HD
01036673	01NC9966N31
01036674	01NC9969A
01036716	532244-30
01036758	A311053A
01036775	621040-05
01036776	686051-54A
01036780	686051-54A
01036781	684806-54A
01036782	684806B54A
01036793	LNT1999-999
01036794	LNT1999-999
01036795	LNT1999-999
01036796	LNT1999-999
01036799	688788A06
01036831	2317373
01036860	LA08256-000
01036861	LEL0423-000
01037019	P01120612
01037028	P01143212
01037029	P01143212
01037030	P01143212
01037032	P01143221
01037035	684806-54A
01037036	684806-54A
01037037	684806-54A
01037038	684806-54A
01037044	L967206-000A
01037050	L956619-102
01037069	LET1080-003
01037076	MTX3291-VOL
01037078	TRAVAUXINTE~1
01037080	MTX3297
01037081	MTX3297
01037084	GX305
01037092	P01138901
01037106	P01174830
01037110	P01157167A
01037112	P01160620
01037115	P01120127
01037117	P01139712A
01037128	P01654227
01037167	01NC4959Z1
01037192	684806B54
01037198	P01196803
01037203	OX5042B
01037204	P01102092A
01037253	L959676-001
01037265	686383B01
01037390	696073A00
01037433	P01160591
01037434	P01160591
01037453	P01654821
01037461	P01140824
01037464	P01140824C
01037481	P01140826A
01037538	695038D01
01037557	P01120115
01037571	P01120126
01037573	P01120079B
01037574	P01120116
01037608	621748-41
01037609	621960-41
01037710	693991F01
01037712	P01120043F
01037723	686702-93A
01037736	N00671A00
01037780	LEL0410-000
01037792	LEL0697-002
01037859	LET1098-000
01037888	N03565C00
01037941	IA-NE90AAC
01037942	IA-NE90VAC1
01038000	REL-RTSDC
01038053	X04152A00
01038055	P01139715
01038095	X04533F00
01038122	695038D00
01038201	L912099-000
01038203	L912099-000
01038204	L912099-000
01038205	L912099-000
01038206	TRAVAUXINTE~1
01038401	P01196311E
01038439	P01143200
01038448	P01651904
01038500	694143A00
01038502	AX0502A
01038519	LET0053-101
01038521	LET1109-100
01038539	P01120127
01038541	P01120025
01038611	X04152A00
01038631	692767F00
01038653	687739A76Y
01038784	P01120661
01038790	N03569H01
01038791	MTX3297
01038792	MTX3297
01038793	MTX3297
01038866	HX0031
01038879	P01145445
01038922	P01120027
01038933	693467B01
01038934	693467B01
01038939	P01120126
01038940	696295A00
01038942	696295A00
01038985	P01145455
01039003	Y00151A00
01039039	P01160620
01039047	P01196813
01039178	L860636-001
01039242	TRAVAUXINTE~1
01039268	L969673-000
01039365	X04839C00
01039388	X02775A00
01039389	P01143210
01039390	P01143210
01039391	P01143210
01039392	P01143210
01039394	P01143200
01039410	P01139715
01039412	P01196311E
01039414	GX310
01039419	LEL2170-002
01039435	624700A93
01039446	L919738-502
01039470	P01140834R
01039476	X04152A00
01039481	P01654227
01039490	P01140836
01039502	P01654110
01039513	RE3A4131
01039564	685211-49A
01039566	687227A41A
01039761	P01331050
01039815	P01196311E
01039816	P01196311F
01039867	P01654822
01039892	L966619-002
01039909	L959340-005
01039911	LEL1103-100
01039916	L959340-003
01039926	685098A54A
01039988	TRAVAUXINTE~1
01040035	01NC9965D
01040036	01NC9965D
01040037	01NC9965D
01040038	01NC9965D
01040134	N01172A00
01040138	01NC9965D
01040151	N03569H00
01040187	01NC9972
01040231	LEL0182-000
01040234	L959340-007
01040239	L959340-002
01040293	P01157151
01040298	P01160511
01040301	P01160542
01040303	P01654110
01040320	P01400199
01040439	ALC786434
01040440	HEI000152
01040446	687783F01
01040460	P01138902A
01040470	P01138902
01040474	P01651010
01040491	X02775A00
01040511	P01120612
01040538	P01331051
01040540	P01139714
01040542	P01139714
01040545	N03301A00
01040546	N03299A00
01040547	N03300A00
01040549	N00829A00
01040598	691484F00
01040599	693936E00
01040636	L959340-003
01040660	L956467-001
01040711	LEL2370-000
01040712	LEL3662-000
01040736	P01140834
01040738	P01140834R
01040739	P01140836
01040755	P01160511
01040771	P01160657
01040778	P01651904
01040780	P01654110
01040781	P01654110
01040797	P01654823
01040823	TRAVAUXINTE~1
01040828	686052-54
01040883	LEL2990-001
01040944	TRAVAUXINTE~1
01040983	P01145811
01041090	TRAVAUXINTE~1
01041097	PN-AMP
01041124	685694-40B
01041154	668944A90
01041182	686079-90A
01041234	P01196311E
01041307	RC905003
01041313	P01157169
01041314	P01157169A
01041320	P01105102C
01041347	ST THERMOCOAX
01041383	LA08257-000
01041384	LEL0428-001
01041399	P01295132A
01041454	691301A00
01041455	692064A00
01041471	6470200105
01041482	01NC9966N11
01041483	01NC9966N1
01041499	693991F00
01041514	P01400149
01041544	694594G00
01041618	P01146013
01041631	01NC9961
01041647	X04152A00
01041649	X04152A00
01041652	687237A96A
01041680	P01138902
01041682	P01145831
01041686	P01145831
01041687	P01145811
01041693	HX0030C
01041701	STEP402-043~3
01041813	685471A00
01041815	692778A00
01041826	STEP402-042~2
01041835	686079-90A
01041837	P01122016
01041858	STH407918C
01041859	PRESTQUALITE
01041873	LEL1103-150
01041931	621040-05
01041942	622197-79
01041954	686052-54
01041955	686052-54
01041973	622200-19
01041998	N04280A00
01041999	N04280A00
01042000	N04280A00
01042001	N04280A00
01042002	N04280A00
01042057	LNT1999-999
01042067	X04152A00
01042075	LEL3796-000
01042082	N03565C00
01042170	A90V0367
01042206	694736E01
01042235	GX305
01042241	MX5006
01042242	P01103076
01042243	P01120612
01042244	01NC3989NE
01042256	P01102199
01042257	P01102199
01042269	P01120309F
01042281	P01122018
01042283	TRI57825
01042285	2026239
01042288	683799-93
01042309	691643A01
01042315	692766B00
01042360	X04152A04
01042431	P01196775
01042437	P01651010
01042500	01NC9960A
01042501	01NC9966N1
01042509	IA-NE90VAC1
01042528	LEL2487-101
01042534	SOUTRAITSHUNT
01042550	665951-51
01042558	694583A00
01042593	L850151-000
01042613	X02764A00
01042614	LEL0692-000
01042621	LEL1103-150
01042629	LEL2487-101
01042651	X02764A00
01042711	X01408C51A
01042797	LEL0468-000
01042803	LEL2960-001
01042807	N00688A00
01042823	680518-51
01042825	685211-49A
01042828	685691-54A
01042829	685980-48A
01042830	686054-54A
01042833	687235-19A
01042835	687274-54A
01042836	688410B00
01042837	688572A00
01042840	688791A00
01042841	688797A00
01042842	688798A00
01042843	688825B00
01042850	689254A00
01042852	689421A00
01042853	689422A00
01042854	689536A00
01042855	689537A00
01042857	691825A00
01042858	691826A00
01042859	691827A00
01042860	691908A03
01042867	694304A00
01042878	SOUTRAITEXT~2
01042887	P01160541EUR
01042913	695038D01
01042915	694880B00
01042916	AX0503A
01042939	LEL0431-200
01042946	LEL0692-000A
01042949	X02529A00
01042959	LEL0692-000
01042960	LEL0692-000
01042961	LEL0692-000
01042962	LEL0692-000A
01042963	LEL0692-000A
01042986	P01145460
01042987	P01145460
01042989	P01145460
01043005	N02971A00
01043006	577897A07
01043007	577897A09
01043011	686385-76E
01043015	01NC9965HD
01043016	01NC9966N31
01043017	01NC9969A
01043019	TRAVAUXINTE~1
01043034	L956452-001
01043037	A110-CFG
01043081	X04244G01
01043094	STH306154
01043123	P01120043B
01043153	LA08162-000
01043180	L968564-000
01043192	577927A00
01043195	687739A76Y
01043196	687739A76Z
01043220	X01479B76A
01043236	TRAVAUXINTE~1
01043250	MX5006
01043257	LNT5000-999
01043263	X03807B02
01043269	686283-17E
01043270	686383B00
01043275	688810B00
01043291	GX320
01043292	GX305
01043303	01NC3989NE
01043320	P01160620
01043333	695851G00
01043346	P01126501A
01043358	LNT0700-999
01043378	P01120025
01043379	P01120027
01043402	CA2150
01043478	01NC9965HD
01043479	01NC9966N21
01043480	01NC9969A
01043499	687739A76Z
01043513	691484F00
01043517	694736E00
01043536	N01558D00
01043537	N01920D00
01043549	VX0100
01043550	GX320-E
01043555	L959568-000
01043559	P01145811
01043561	P01145831
01043563	P01143200
01043564	P01196773
01043568	MTX3297
01043571	P01157201
01043574	P01651010
01043576	P01126501
01043577	P01139715
01043578	N03565C00
01043598	L850746-000
01043629	L912081-000
01043678	P01139711
01043684	IA-NE90ADC
01043685	IA-NE90ADC
01043686	IA-NE90ADC
01043687	IA-NE90ADC
01043725	P01157153
01043738	P01160657
01043742	P01654110
01043763	P01400206
01043768	669252-96A
01043777	01NC9965HD
01043778	01NC9966N31
01043779	01NC9969A
01043787	X00295A90A
01043789	LEL2170-001
01043805	X03646F02
01043825	L912099-000
01043826	L912099-000
01043831	P01102187
01043841	TRAVAUXINTE~1
01043840	PROTO-CARTE
01043866	689565A02
01043882	692139F00
01043884	694353D00
01043900	L968999-001
01043932	693341E00
01043955	LA08258-000
01043985	P01157153A
01044001	P01157153
01044037	LET0886-001
01044041	LET0886-002
01044063	695366A02
01044064	P01139716
01044127	685925-54A
01044129	321148-90
01044134	P01120577Z
01044160	685471A00
01044175	01NC4563
01044181	L861014-001
01044189	692993B00
01044213	P01140824
01044218	P01140826
01044246	P01140822
01044252	P01140822
01044253	P01140822
01044262	P01140826
01044266	P01140826
01044269	P01140832
01044251	TRAVAUXINTE~1
01044291	X01592B93A
01044295	P01145460F
01044310	688952A00
01044345	X04152A00
01044346	GX320
01044351	GX305
01044356	MX5060
01044357	P01138902A
01044360	P01160620
01044368	693608E00
01044374	P01139713A
01044381	577897A08
01044395	X03669D02
01044400	01NC9965HD
01044401	01NC9966N31
01044402	01NC9969A
01044427	TRAVAUXINTE~1
01044442	P01120027
01044455	695058A00
01044472	003018E57
01044475	686027-54A
01044476	686054-54A
01044478	687339A93A
01044479	688210A51A
01044487	695175A00
01044498	P01651904A
01044504	P01280132A
01044508	688788A03
01044514	P01165223
01044518	681891-94
01044521	01NC3989NE
01044635	P01296021
01044661	N04280A00
01044662	N04280A00
01044665	686049-54A
01044670	N03046A00
01044695	688818B03
01044705	P01120576Z
01044707	L959641-001
01044708	L959640-001
01044722	L850746-000
01044735	L860253-001
01044736	L860963-001
01044764	01NC9965HF
01044766	01NC9966N11
01044768	01NC9965HD
01044771	01NC9969B
01044799	P01102081
01044800	P01102199
01044803	P01120307
01044810	2028793
01044819	689806B03
01044822	692765A00
01044825	695793A00
01044836	005966-93
01044842	P01157153
01044900	694143A00
01044901	P01143210
01044906	X04152A00
01044917	N02666B00
01044924	695038D01
01044939	693809C00
01044946	687783F01
01044950	693619G00
01044972	2309270
01044973	2309271
01044975	686645A93A
01044978	N01411A00
01044987	692314A00
01044988	692315A00
01045033	P01120301D
01045036	686274B00
01045039	687339A93A
01045041	01NC9966N11
01045042	01NC9965HD
01045043	01NC9966N31
01045044	01NC9969A
01045045	01NC9965HD
01045047	01NC9966N31
01045048	01NC9969A
01045050	01NC9965HD
01045056	01NC9966N31
01045062	01NC9969A
01045063	P01102204B
01045078	P01140832B
01045080	P01140834R
01045093	578083A00
01045098	LNT1999-999
01045108	694886C00
01045120	GX305
01045121	MX5060
01045123	P01120025
01045130	MTX3291
01045153	L969495-000
01045155	P01120406E
01045206	621518-90
01045226	RE3A4135
01045252	RC905003
01045258	L968510-001
01045268	L015310-000
01045270	SOUTRAITSHUNT
01045271	SOUTRAITSHUNT
01045275	01NC9965HD
01045276	686283-17A
01045278	687201A11
01045279	694817B00
01045280	01NC9966N31
01045281	01NC9969A
01045282	686548-54A
01045307	P01120027
01045317	AA2807
01045323	691271F00
01045330	LET1083-003
01045344	P01102190
01045366	01NC9965HD
01045367	01NC9966N31
01045369	01NC9969A
01045406	P01102092A
01045407	694143A00
01045410	ARTSERV014973
01045412	ARTSERV014974
01045413	N01372A00
01045415	680518-51
01045416	688797A01
01045417	696571A00
01045419	P01174830
01045420	P01196773
01045428	P01160620
01045430	685921-37M
01045431	P01196775
01045439	688220A90A
01045444	X03611B01
01045447	686385-76E
01045450	691023A01
01045469	LNT0800-999
01045471	L860123-001
01045491	691023A02
01045502	01NC9965HD
01045503	01NC9966N31
01045504	01NC9969A
01045507	01NC9965HD
01045508	01NC9966N31
01045509	01NC9969A
01045510	01NC9965HD
01045511	01NC9966N31
01045512	01NC9969A
01045513	01NC9965HD
01045514	01NC9966N31
01045515	01NC9969A
01045527	01NC9965HD
01045528	01NC9966N31
01045529	01NC9969A
01045540	01NC9965HF
01045541	01NC9966N1
01045551	L912099-000
01045552	L912099-000
01045556	P01120590AB
01045560	L952211-104
01045564	LM31092-004
01045594	P01145445
01045613	P01160658
01045670	L912099-000
01045679	N03576A00
01045680	X00729A51A
01045681	X01408C51A
01045685	X03198A00
01045687	621780-51
01045689	669144A65
01045690	685973-28A
01045691	686548-54A
01045692	686887-57A
01045694	691514D00
01045699	695547A00
01045703	P01165221
01045705	X03152A00
01045726	687783F00
01045727	693991F00
01045728	693991F01
01045781	X04974B03
01045817	IA-NE90ADC
01045873	ST THERMOCOAX
01045874	PRESTQUALITE
01045894	A25300SP
01045895	818390E9300
01045897	2316862
01045901	EVVB4152
01045910	HX0072
01045935	P01120055A
01045937	005013P76
01045942	ARTSERV015004
01045949	L010103-000
01045962	685270C00
01045963	685463D04
01045970	N01885A00
01045992	TC_PLAST-CFG
01045993	TC_PLAST-CFG
01046005	X04152A00
01046011	GX305
01046013	L965991-003
01046014	LNT6001-999
01046031	P01196777
01046033	F00461A00
01046044	577897A13
01046072	685690-96A
01046074	686283-17E
01046075	686383B00
01046080	688244G10
01046097	P01196773
01046098	684255-65A
01046130	ST SAFT
01046132	ST SAFT
01046137	686383B01
01046169	01NC9966N11
01046170	01NC9965HC
01046171	01NC9965HD
01046172	01NC9966N31
01046173	01NC9969A
01046179	679774-67
01046181	679909-18
01046182	SHUN1238
01046178	TRAVAUXINTE~1
01046185	01NC3989PN
01046227	TRAVAUXINTE~1
01046242	L860982-003
01046251	694171J01
01046264	01NC9965HD
01046265	01NC9966N31
01046266	01NC9969A
01046275	688780P02
01046280	686685-49A
01046287	694043B01
01046296	N01790A00
01046298	P01106102
01046304	P01120301
01046305	P01120301
01046314	2317832
01046316	683799-93
01046317	684416-00
